ExchangeCode,ShortName
RBMINFRA,RBMINF
MANUGRAPH,MANIND
VOLTAMP,VOLTRA
RADIANTCMS,RADCAS
ATLANTA,ATLLIM
ACE,ACTCON
HOVS,HOVSER
SELAN,SELEXP
ANDHRSUGAR,ANDSUG
HIMATSEIDE,HIMSEI
IRCTC,INDRAI
HINDUJAFO,HINFOU
SONAHISONA,SONHIS
ANANTRAJ,ANARAJ
BINANIIND,BININD
91D060423,TQD23A
182D060723,THG23A
HINDALCO,HINDAL
364D040124,TYA24A
SKYGOLD,SKYGOL
ICSA,ICSA
JMFINANCIL,JMFINA
SGBDE30III,SGBT62
ELECON,ELEENG
DSPBANKETF,DSPBAN
TALBROAUTO,TALAUT
ALICON,ALICAS
ANLON,ANLTEC
GEECEE,GEEVEN
MADHUCON,MADPRO
ANSALHSG,ANSHOU
MBECL,MCNBHA
GATI,GATLIM
SAH,SAHPOL
INFOMEDIA,INFPRE
VISHWARAJ,VISSU
FIEMIND,FIEIND
HANUNG,HANTOY
HINDCOMPOS,HINCOM
JHS,JHSSVE
DCBBANK,DCB
INSPIRISYS,AFL
CMNL,CHAMET
GLOBALVECT,GLOVEC
SHYAMTEL,SHYTEL
GTLINFRA,GTLINF
HCC,HINCON
FLUOROCHEM,GUJFLU
NAUKRI,INFEDG
SHIVAMAUTO,SHIAUT
MANOMAY,MANTEX
BBL,BHABIJ
DUCOL,DUCORG
AARVEEDEN,AARDEN
GESHIP,GESHIP
JETFRE-RE,JETRE1
TORNTPOWER,TORPOW
PARSVNATH,PARDE
BAIDFIN,BAILEA
MANALIPETC,MANPET
SUTLEJTEX,SUTTEX
GREENPANEL,GREEI
KAMOPAINTS,KAMVEN
DAAWAT,LTOVER
RUCHIRA,RUCPAP
AARTI-RE,AARRE1
SOBHA,SOBDEV
IIFL,IIFL33
BATLIBOI,BATLIB
DONEAR,DONIND
IIFL,IIFL34
MMFL,MMFORG
IIFL,IIFL35
IIFL,IIFL36
IIFL,IIFL37
IIFL,IIFL38
IIFL,IIFL39
VENUSREM,VENREM
INDO-RE,INRE1
AARTIPHARM,AARPHA
KUANTUM,KAUPAP
JINDRILL,JINDAD
BANCOINDIA,BANPRO
ARIHANT,ARIFOU
HIRECT,HINREC
CREST,CREVEN
HERIT-RE,HERRE1
PLASTIBLEN,PLASTI
NFL,NATFER
ARISTO,ARIBIO
VISUINTL,VISINT
HINDUNILVR,HINLEV
PRAENG,PRAENG
KESARENT,KESENT
KOTAKLIQ,KOTN1D
PARACABLES,PARCOM
HBLPOWER,HBLPOW
TANLA,TANSOL
SGBOCT27,SGBT32
JASH,JASENG
PSTL,PYRSAI
CAIRN,CAIIND
ABSLBANETF,BIRBAN
SHREEASHTA,SHRASH
SITINET,SITCAB
SRPL,SHRERA
ZEEMEDIA,ZEEMED
IBUCCR,INND1
AVTNPL,AVTHOM
SUPREMEENG,SUPEN
IBUCCR,INND2
LUMAXTECH,LUMAAU
IBUCCR,INND3
TIDEWATER,TIDWAT
IBUCCR,INND4
IBUCCR,INND5
IBUCCR,INND6
HINDOILEXP,HINOIL
IBUCCR,INND7
IBUCCR,INND8
IBUCCR,INND9
IBUCCR,INN10
IBUCCR,INN11
INCREDFIN,INFND1
INCREDFIN,INFND2
SARLAPOLY,SARPER
INCREDFIN,INFND3
INCREDFIN,INFND4
GRCL,GAYRUB
SANGHVIMOV,SANMOV
HINDPETRO,HINPET
WANBURY,WANLIM
SAGCEM,SAGCEM
JAIBALAJI,JAIBAL
IGPL,IGPETR
SIYSIL,SIYSIL
PTL,PTLENT
AUTOIND,AUTOIN
NETWORK18,NETW18
GANDHITUBE,GANSPE
91D110523,TQE23B
AGI,HSILIM
OMAXAUTO,OMAAUT
PITTIENG,PITLAM
364D080224,TYB24B
SBGLP,SURBUS
PATEL-RE,PARE1
GLOBAL,GLOEDU
UNOMINDA,MININD
SHERA,SHEENE
IZMO,IZMO
NSLNISP,NMDSTE
ROML-RE,RARE1
NINSYS,NINSYS
TIMKEN,TIMIND
HUBTOWN,HUBLIM
LRRPL,LEAREC
TV18BRDCST,TV18BR
IMC1,INDMU1
CTE,CAMTEC
IMC1,INDMU2
TIIL,TECIND
IMC1,INDMU3
IMC1,INDMU4
HDFCBSE500,HDF500
HDFCSML250,HDF250
HDFCMID150,HDF150
HINDZINC,HINZIN
TVSSRICHAK,TVSSRI
MITTAL-RE,MITRE1
618GS2024,618K24
SGBOCT27VI,SGBT33
REDINGTON,REDIND
AARTIPP,AARPP1
MHHL,MOHHEA
PGIL,PEAGL
AGARWALFT,AGAFLO
HINPOWPLUS,HINPOW
ORIENTBELL,ORIBEL
91D250523,TQE23D
182D240823,THH23D
364D220224,TYB24D
MAGOLDETF,MIRGOL
AICHAMP,A1CHAM
KHFM-RE,KHFRE1
CGCL-RE,CAPRE1
SEQUENT,SEQSCI
PFC,POWFIN
FSL,FIRSOU
INDIANB,INDIBA
TTL,TT
VIAZ,VIATYR
TFL,TRANFI
SMSPHARMA,SMSPHA
HSCL,HIMCHE
GANESHHOUC,GANHOU
ORIENTALTL,ORITRI
MINDTREE,MINLIM
APOLLOPIPE,AMULEA
EVINIX,EVIACC
IDEA,IDECEL
HOCL,HINORG
EUROCERA,EURCER
AMDIND,AMDIND
GODREJAGRO,GODAGR
RAJTV,RATELE
SRIVASAVI,SRIAD
SUPREMETEX,SUPTEX
PAGEIND,PAGIND
ASTRAL,ASTPOL
SANOFI,SANOFI
LAOPALA,LAOPA
GOLDBEES,GOLDEX
ABHISHEK,ABHCOR
JKTYRE,JKTYRE
NAHARSPING,NAHSPI
NAHARPOLY,NAHPOL
HOGANAS,HOGIND
IBREALEST,INDREL
KIRLFER,KIRFER
JMTAUTOLTD,JMTAUT
KSOILS,KSOIL
DIVGIITTS,DIVTOR
HLVLTD,HOTLEE
GOKULAGRO,GOKAGR
THEMISMED,THECHE
NCLIND,NCLIND
VERTEXPLUS,VERTEC
BALAMINES,BALAMI
SYSTANGO,SYSTEC
GOKUL-RE,GOKRE1
BANSWRAS,BANSYN
ABSLLIQUID,ADIAI
HOTLINGLAS,HOTGLA
ICRA,ICRLIM
MALCO,MADALU
GOLDSHARE,UTGOLD
DISHTV,DISHTV
ADVANTA,ADVIND
NDLVENTURE,HINVEN
HIL,HILLTD
PHOENIXLTD,PHOMIL
AROGRANITE,AROGRA
ZENITHSTL,ZENITH
BFUTILITIE,BFUTI
182D140923,THI23B
GLOBOFFS,GARSHI
364D140324,TYC24B
MCON,MCORAY
SRHHYPOLTD,SREERA
PSUBANKICI,ICIPSU
SRHHLINDST,SRERH
VELS,VELFIL
FORTIS,FORHEA
ALPHAGEO,ALPHAG
SGBMAR31IV,SGBT63
GSLSU,GLOSUR
WEBELSOLAR,WEBENE
IBP,IBP
TGBHOTELS,TGBBAN
SIMBHALS,SIMSUG
QFIL,QUAFOI
CHEMBOND,CHECH
ANKURDRUGS,MRIPHA
HILTON,HILMET
BINANICEM,BINCEM
FTCSF3YGRO,FRATE2
ACCURACY,ACCSHI
FTCSF5YGRO,FRATE4
FTCSF5YDIV,FRATE3
INSECTICID,INSEC
91D230623,TQF23D
MCDHOLDING,MCHOLD
KMSUGAR,KMSUG
182D220923,THI23C
364D220324,TYC24C
AKZOINDIA,AKZNOB
NAVINFLUOR,NAVFLU
IBULHSGFIN,INHN20
GUJAPOLLO,GUJAPO
IBULHSGFIN,INHN21
IBULHSGFIN,INHN22
GOACARBON,GOACAR
IBULHSGFIN,INHN23
IBULHSGFIN,INHN24
IBULHSGFIN,INHN27
KALINDEE,KALRAI
NAGREEKEXP,NAGEXP
IBULHSGFIN,INHN28
TIMETECHNO,TIMTEC
