"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"17248","OPTCUR","JPYINR","OPTION","26-Sep-2023",56.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.105,5.55,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.8275,"JPYINR"
"17250","OPTCUR","JPYINR","OPTION","26-Sep-2023",56.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",3.92,5.34,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.63,"JPYINR"
"17252","OPTCUR","JPYINR","OPTION","26-Sep-2023",56.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",3.7375,5.1325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.435,"JPYINR"
"17254","OPTCUR","JPYINR","OPTION","26-Sep-2023",57,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",3.5575,4.9275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.2425,"JPYINR"
"17256","OPTCUR","JPYINR","OPTION","26-Sep-2023",57.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",3.3825,4.7275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.055,"JPYINR"
"17258","OPTCUR","JPYINR","OPTION","26-Sep-2023",57.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",3.2175,4.5325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.875,"JPYINR"
"17260","OPTCUR","JPYINR","OPTION","26-Sep-2023",57.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",3.0525,4.3375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.695,"JPYINR"
"17262","OPTCUR","JPYINR","OPTION","26-Sep-2023",58,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.89,4.145,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.5175,"JPYINR"
"17264","OPTCUR","JPYINR","OPTION","26-Sep-2023",58.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.735,3.96,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.3475,"JPYINR"
"17266","OPTCUR","JPYINR","OPTION","26-Sep-2023",58.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.585,3.78,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.1825,"JPYINR"
"17268","OPTCUR","JPYINR","OPTION","26-Sep-2023",58.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.4425,3.6025,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.0225,"JPYINR"
"17270","OPTCUR","JPYINR","OPTION","26-Sep-2023",59,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.3025,3.4325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.8675,"JPYINR"
"17272","OPTCUR","JPYINR","OPTION","26-Sep-2023",59.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.1675,3.2625,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.715,"JPYINR"
"17274","OPTCUR","JPYINR","OPTION","26-Sep-2023",59.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.04,3.1,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.57,"JPYINR"
"17276","OPTCUR","JPYINR","OPTION","26-Sep-2023",59.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.9125,2.9425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.4275,"JPYINR"
"17278","OPTCUR","JPYINR","OPTION","26-Sep-2023",60,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.795,2.79,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.2925,"JPYINR"
"17280","OPTCUR","JPYINR","OPTION","26-Sep-2023",60.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.6825,2.6425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.1625,"JPYINR"
"17282","OPTCUR","JPYINR","OPTION","26-Sep-2023",60.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.5725,2.4975,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.035,"JPYINR"
"17284","OPTCUR","JPYINR","OPTION","26-Sep-2023",60.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.47,2.36,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.915,"JPYINR"
"17286","OPTCUR","JPYINR","OPTION","26-Sep-2023",61,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.37,2.225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.7975,"JPYINR"
"17288","OPTCUR","JPYINR","OPTION","26-Sep-2023",61.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.2775,2.0975,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.6875,"JPYINR"
"17290","OPTCUR","JPYINR","OPTION","26-Sep-2023",61.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.1875,1.9725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.58,"JPYINR"
"17292","OPTCUR","JPYINR","OPTION","26-Sep-2023",61.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.105,1.855,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.48,"JPYINR"
"17294","OPTCUR","JPYINR","OPTION","26-Sep-2023",62,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.025,1.74,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.3825,"JPYINR"
"17296","OPTCUR","JPYINR","OPTION","26-Sep-2023",62.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.9475,1.6325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.29,"JPYINR"
"17298","OPTCUR","JPYINR","OPTION","26-Sep-2023",62.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.8775,1.5275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.2025,"JPYINR"
"7100","OPTCUR","JPYINR","OPTION","26-Sep-2023",62.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.81,1.43,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.12,"JPYINR"
